"pl_POL_wp_int" "2017-05-21 12:57:00" "Tańczący Donald Trump w Arabii Saudyjskiej. O co chodzi?" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/579695474--384206631/trump.jpg"" width=""308"" /> W sieci pojawiły się filmiki wideo przedstawiające prezydenta USA Donalda Trumpa oraz dwóch jego doradców - sekretarza stanu Rexa Tillersona i..."
"pl_POL_wp_int" "2017-05-21 12:42:00" "Bundeswehra szuka zagubionych karabinów " "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1602937912-1813712152/niwmcy-wojcko.jpg"" width=""308"" /> W minionych latach niemieckiej armii zginęło więcej sztuk broni niż dotychczas podawano. Może mieć to związek ze sprawą oficera, podejrzanego o..."
"pl_POL_wp_int" "2017-05-21 12:18:00" "Słupsk: policja poszukuje dwóch chłopców" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/81959361--668324934/policja.png"" width=""308"" /> Policja w Słupsku poszukuje dwóch chłopców, którzy zaginęli we Wrześciu. Po raz ostatni byli widziani w sobotę w godzinach popołudniowych. "
"pl_POL_wp_int" "2017-05-21 12:17:00" "Szef niemieckiego MSZ odwołał wizytę w Warszawie" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/946950729--1229069768/waszczykowski.jpg"" width=""308"" /> Sigmar Gabriel miał dziś spotkać się z Witoldem Waszczykowskim, ale nie przyjedzie do Polski. Nowego terminu rozmów nie podano."
"pl_POL_wp_int" "2017-05-21 12:05:00" "Co za wpadka Nowoczesnej... Polubili ten fragment z ""Titanica""" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1946904019--629704314/ds.jpg"" width=""308"" /> Partia Ryszarda Petru musi się jeszcze wiele nauczyć w kontekście obsługi mediów społecznościowych. Osoba administrująca ich profil na Twitterze..."
"pl_POL_wp_int" "2017-05-21 11:17:00" "PO domaga się komisji śledczej ws. śmierci Igora Stachowiaka" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/40753521--1704562596/schetyna.jpg"" width=""308"" /> - Domagamy się dymisji wiceministra spraw wewnętrznych i administracji Jarosława Zielińskiego, a także powołania komisji śledczej w związku z..."
"pl_POL_wp_int" "2017-05-21 11:14:00" "Korea Płn. wystrzeliła pocisk nieustalonego rodzaju " "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1621885350--1595059830/kim-dzong.jpg"" width=""308"" /> Korea Północna wystrzeliła w niedzielę pocisk nieustalonego rodzaju - poinformował południowokoreański sztab generalny, a informacje te potwierdził..."
"pl_POL_wp_int" "2017-05-21 11:02:00" "Magdalena Żuk opowiada o swoich marzeniach i planach. Widzieliście już to nagranie?" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1687790973-1418796832/magdalena-zuk.jpg"" width=""308"" /> Sprawa tajemniczej śmierci Magdaleny Żuk w Egipcie cały czas interesuje Polaków. Cały czas pojawiają się też nowe informacje, dotyczące kobiety...."
"pl_POL_wp_int" "2017-05-21 10:41:00" "Magdalena Żuk dwa razy chciała skakać z dachu hotelu" "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1488796282--1131351032/magdalena-zuk.jpg"" width=""308"" /> Maja Pilch, detektyw i narzeczona Krzysztofa Rutkowskiego ujawniła nowe szczegóły na temat tajemniczej śmierci Magdaleny Żuk. – Dwa razy..."
"pl_POL_wp_int" "2017-05-21 10:27:00" "Firma nagabywała ją do promocji ubrań. Znana dziennikarka nie wytrzymała " "<img src=""https://i.wpimg.pl/O/308x180/d.wpimg.pl/1236112604-2111537899/ds.jpg"" width=""308"" /> Małgorzata Cecherz napisała na Facebooku, że ma już dość propozycji od &" "34;znanej marki odzieżowej&" "34;, by występować w ubraniach z ich logo w swoich..."
